##########################################################################################
############################# Effectiveness Evaluation for 0 #############################
##########################################################################################

Evaluation Measures:
MAP: 0.01
MRR: 0.02
--------------------------------------------------------------------------------

QueryID: Q1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q1         CACM-3142         1         N         0.00         0.000000
Q1         CACM-3143         2         N         0.00         0.000000
Q1         CACM-3144         3         N         0.00         0.000000
Q1         CACM-3145         4         N         0.00         0.000000
Q1         CACM-3149         5         N         0.00         0.000000
Q1         CACM-3150         6         N         0.00         0.000000
Q1         CACM-3152         7         N         0.00         0.000000
Q1         CACM-3153         8         N         0.00         0.000000
Q1         CACM-3156         9         N         0.00         0.000000
Q1         CACM-3157         10        N         0.00         0.000000
Q1         CACM-3158         11        N         0.00         0.000000
Q1         CACM-3160         12        N         0.00         0.000000
Q1         CACM-3161         13        N         0.00         0.000000
Q1         CACM-3163         14        N         0.00         0.000000
Q1         CACM-3164         15        N         0.00         0.000000
Q1         CACM-3166         16        N         0.00         0.000000
Q1         CACM-3167         17        N         0.00         0.000000
Q1         CACM-3168         18        N         0.00         0.000000
Q1         CACM-3169         19        N         0.00         0.000000
Q1         CACM-3170         20        N         0.00         0.000000
Q1         CACM-3171         21        N         0.00         0.000000
Q1         CACM-3172         22        N         0.00         0.000000
Q1         CACM-3173         23        N         0.00         0.000000
Q1         CACM-3174         24        N         0.00         0.000000
Q1         CACM-3175         25        N         0.00         0.000000
Q1         CACM-3176         26        N         0.00         0.000000
Q1         CACM-3177         27        N         0.00         0.000000
Q1         CACM-3179         28        N         0.00         0.000000
Q1         CACM-3181         29        N         0.00         0.000000
Q1         CACM-3182         30        N         0.00         0.000000
Q1         CACM-3183         31        N         0.00         0.000000
Q1         CACM-3184         32        N         0.00         0.000000
Q1         CACM-3185         33        N         0.00         0.000000
Q1         CACM-3187         34        N         0.00         0.000000
Q1         CACM-3189         35        N         0.00         0.000000
Q1         CACM-3190         36        N         0.00         0.000000
Q1         CACM-3191         37        N         0.00         0.000000
Q1         CACM-3192         38        N         0.00         0.000000
Q1         CACM-3193         39        N         0.00         0.000000
Q1         CACM-3194         40        N         0.00         0.000000
Q1         CACM-3195         41        N         0.00         0.000000
Q1         CACM-3196         42        N         0.00         0.000000
Q1         CACM-3197         43        N         0.00         0.000000
Q1         CACM-3198         44        N         0.00         0.000000
Q1         CACM-3199         45        N         0.00         0.000000
Q1         CACM-3200         46        N         0.00         0.000000
Q1         CACM-3201         47        N         0.00         0.000000
Q1         CACM-3202         48        N         0.00         0.000000
Q1         CACM-3203         49        N         0.00         0.000000
Q1         CACM-3204         50        N         0.00         0.000000
Q1         CACM-3143         51        N         0.00         0.000000
Q1         CACM-3144         52        N         0.00         0.000000
Q1         CACM-3145         53        N         0.00         0.000000
Q1         CACM-3147         54        N         0.00         0.000000
Q1         CACM-3148         55        N         0.00         0.000000
Q1         CACM-3149         56        N         0.00         0.000000
Q1         CACM-3151         57        N         0.00         0.000000
Q1         CACM-3152         58        N         0.00         0.000000
Q1         CACM-3154         59        N         0.00         0.000000
Q1         CACM-3156         60        N         0.00         0.000000
Q1         CACM-3158         61        N         0.00         0.000000
Q1         CACM-3164         62        N         0.00         0.000000
Q1         CACM-3165         63        N         0.00         0.000000
Q1         CACM-3167         64        N         0.00         0.000000
Q1         CACM-3168         65        N         0.00         0.000000
Q1         CACM-3169         66        N         0.00         0.000000
Q1         CACM-3171         67        N         0.00         0.000000
Q1         CACM-3174         68        N         0.00         0.000000
Q1         CACM-3179         69        N         0.00         0.000000
Q1         CACM-3184         70        N         0.00         0.000000
Q1         CACM-3189         71        N         0.00         0.000000
Q1         CACM-3198         72        N         0.00         0.000000
Q1         CACM-3202         73        N         0.00         0.000000
Q1         CACM-3203         74        N         0.00         0.000000
Q1         CACM-3204         75        N         0.00         0.000000
Q1         CACM-3141         76        N         0.00         0.000000
Q1         CACM-3142         77        N         0.00         0.000000
Q1         CACM-3147         78        N         0.00         0.000000
Q1         CACM-3148         79        N         0.00         0.000000
Q1         CACM-3150         80        N         0.00         0.000000
Q1         CACM-3151         81        N         0.00         0.000000
Q1         CACM-3153         82        N         0.00         0.000000
Q1         CACM-3154         83        N         0.00         0.000000
Q1         CACM-3160         84        N         0.00         0.000000
Q1         CACM-3162         85        N         0.00         0.000000
Q1         CACM-3165         86        N         0.00         0.000000
Q1         CACM-3176         87        N         0.00         0.000000
Q1         CACM-3180         88        N         0.00         0.000000
Q1         CACM-3192         89        N         0.00         0.000000
Q1         CACM-3200         90        N         0.00         0.000000
Q1         CACM-3204         91        N         0.00         0.000000
Q1         CACM-3142         92        N         0.00         0.000000
Q1         CACM-3146         93        N         0.00         0.000000
Q1         CACM-3152         94        N         0.00         0.000000
Q1         CACM-3153         95        N         0.00         0.000000
Q1         CACM-3163         96        N         0.00         0.000000
Q1         CACM-3166         97        N         0.00         0.000000
Q1         CACM-3163         98        N         0.00         0.000000
Q1         CACM-3182         99        N         0.00         0.000000
Q1         CACM-3147         100       N         0.00         0.000000


QueryID: Q2
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q2         CACM-3134         1         N         0.00         0.000000
Q2         CACM-3135         2         N         0.00         0.000000
Q2         CACM-3137         3         N         0.00         0.000000
Q2         CACM-3139         4         N         0.00         0.000000
Q2         CACM-3141         5         N         0.00         0.000000
Q2         CACM-3144         6         N         0.00         0.000000
Q2         CACM-3145         7         N         0.00         0.000000
Q2         CACM-3148         8         N         0.00         0.000000
Q2         CACM-3149         9         N         0.00         0.000000
Q2         CACM-3150         10        N         0.00         0.000000
Q2         CACM-3151         11        N         0.00         0.000000
Q2         CACM-3152         12        N         0.00         0.000000
Q2         CACM-3153         13        N         0.00         0.000000
Q2         CACM-3155         14        N         0.00         0.000000
Q2         CACM-3156         15        N         0.00         0.000000
Q2         CACM-3158         16        N         0.00         0.000000
Q2         CACM-3159         17        N         0.00         0.000000
Q2         CACM-3160         18        N         0.00         0.000000
Q2         CACM-3161         19        N         0.00         0.000000
Q2         CACM-3162         20        N         0.00         0.000000
Q2         CACM-3163         21        N         0.00         0.000000
Q2         CACM-3164         22        N         0.00         0.000000
Q2         CACM-3165         23        N         0.00         0.000000
Q2         CACM-3166         24        N         0.00         0.000000
Q2         CACM-3167         25        N         0.00         0.000000
Q2         CACM-3168         26        N         0.00         0.000000
Q2         CACM-3169         27        N         0.00         0.000000
Q2         CACM-3171         28        N         0.00         0.000000
Q2         CACM-3172         29        N         0.00         0.000000
Q2         CACM-3173         30        N         0.00         0.000000
Q2         CACM-3174         31        N         0.00         0.000000
Q2         CACM-3175         32        N         0.00         0.000000
Q2         CACM-3176         33        N         0.00         0.000000
Q2         CACM-3177         34        N         0.00         0.000000
Q2         CACM-3179         35        N         0.00         0.000000
Q2         CACM-3180         36        N         0.00         0.000000
Q2         CACM-3181         37        N         0.00         0.000000
Q2         CACM-3182         38        N         0.00         0.000000
Q2         CACM-3183         39        N         0.00         0.000000
Q2         CACM-3184         40        N         0.00         0.000000
Q2         CACM-3185         41        N         0.00         0.000000
Q2         CACM-3186         42        N         0.00         0.000000
Q2         CACM-3187         43        N         0.00         0.000000
Q2         CACM-3188         44        N         0.00         0.000000
Q2         CACM-3189         45        N         0.00         0.000000
Q2         CACM-3190         46        N         0.00         0.000000
Q2         CACM-3191         47        N         0.00         0.000000
Q2         CACM-3192         48        N         0.00         0.000000
Q2         CACM-3193         49        N         0.00         0.000000
Q2         CACM-3194         50        N         0.00         0.000000
Q2         CACM-3195         51        N         0.00         0.000000
Q2         CACM-3196         52        N         0.00         0.000000
Q2         CACM-3197         53        N         0.00         0.000000
Q2         CACM-3198         54        N         0.00         0.000000
Q2         CACM-3199         55        N         0.00         0.000000
Q2         CACM-3200         56        N         0.00         0.000000
Q2         CACM-3201         57        N         0.00         0.000000
Q2         CACM-3202         58        N         0.00         0.000000
Q2         CACM-3203         59        N         0.00         0.000000
Q2         CACM-3204         60        N         0.00         0.000000
Q2         CACM-3133         61        N         0.00         0.000000
Q2         CACM-3138         62        N         0.00         0.000000
Q2         CACM-3140         63        N         0.00         0.000000
Q2         CACM-3142         64        N         0.00         0.000000
Q2         CACM-3143         65        N         0.00         0.000000
Q2         CACM-3144         66        N         0.00         0.000000
Q2         CACM-3146         67        N         0.00         0.000000
Q2         CACM-3147         68        N         0.00         0.000000
Q2         CACM-3150         69        N         0.00         0.000000
Q2         CACM-3151         70        N         0.00         0.000000
Q2         CACM-3153         71        N         0.00         0.000000
Q2         CACM-3154         72        N         0.00         0.000000
Q2         CACM-3176         73        N         0.00         0.000000
Q2         CACM-3177         74        N         0.00         0.000000
Q2         CACM-3188         75        N         0.00         0.000000
Q2         CACM-3190         76        N         0.00         0.000000
Q2         CACM-3191         77        N         0.00         0.000000
Q2         CACM-3196         78        N         0.00         0.000000
Q2         CACM-3202         79        N         0.00         0.000000
Q2         CACM-3136         80        N         0.00         0.000000
Q2         CACM-3145         81        N         0.00         0.000000
Q2         CACM-3153         82        N         0.00         0.000000
Q2         CACM-3158         83        N         0.00         0.000000
Q2         CACM-3164         84        N         0.00         0.000000
Q2         CACM-3179         85        N         0.00         0.000000
Q2         CACM-3197         86        N         0.00         0.000000
Q2         CACM-3201         87        N         0.00         0.000000
Q2         CACM-3138         88        N         0.00         0.000000
Q2         CACM-3141         89        N         0.00         0.000000
Q2         CACM-3152         90        N         0.00         0.000000
Q2         CACM-3157         91        N         0.00         0.000000
Q2         CACM-3165         92        N         0.00         0.000000
Q2         CACM-3175         93        N         0.00         0.000000
Q2         CACM-3202         94        N         0.00         0.000000
Q2         CACM-3138         95        N         0.00         0.000000
Q2         CACM-3195         96        N         0.00         0.000000
Q2         CACM-3163         97        N         0.00         0.000000
Q2         CACM-3200         98        N         0.00         0.000000
Q2         CACM-3160         99        N         0.00         0.000000
Q2         CACM-3135         100       N         0.00         0.000000


QueryID: Q3
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q3         CACM-3149         1         N         0.00         0.000000
Q3         CACM-3151         2         N         0.00         0.000000
Q3         CACM-3155         3         N         0.00         0.000000
Q3         CACM-3156         4         N         0.00         0.000000
Q3         CACM-3157         5         N         0.00         0.000000
Q3         CACM-3158         6         N         0.00         0.000000
Q3         CACM-3161         7         N         0.00         0.000000
Q3         CACM-3162         8         N         0.00         0.000000
Q3         CACM-3165         9         N         0.00         0.000000
Q3         CACM-3166         10        N         0.00         0.000000
Q3         CACM-3167         11        N         0.00         0.000000
Q3         CACM-3168         12        N         0.00         0.000000
Q3         CACM-3169         13        N         0.00         0.000000
Q3         CACM-3171         14        N         0.00         0.000000
Q3         CACM-3173         15        N         0.00         0.000000
Q3         CACM-3176         16        N         0.00         0.000000
Q3         CACM-3177         17        N         0.00         0.000000
Q3         CACM-3180         18        N         0.00         0.000000
Q3         CACM-3182         19        N         0.00         0.000000
Q3         CACM-3183         20        N         0.00         0.000000
Q3         CACM-3184         21        N         0.00         0.000000
Q3         CACM-3185         22        N         0.00         0.000000
Q3         CACM-3188         23        N         0.00         0.000000
Q3         CACM-3189         24        N         0.00         0.000000
Q3         CACM-3190         25        N         0.00         0.000000
Q3         CACM-3191         26        N         0.00         0.000000
Q3         CACM-3192         27        N         0.00         0.000000
Q3         CACM-3193         28        N         0.00         0.000000
Q3         CACM-3194         29        N         0.00         0.000000
Q3         CACM-3196         30        N         0.00         0.000000
Q3         CACM-3197         31        N         0.00         0.000000
Q3         CACM-3198         32        N         0.00         0.000000
Q3         CACM-3199         33        N         0.00         0.000000
Q3         CACM-3200         34        N         0.00         0.000000
Q3         CACM-3203         35        N         0.00         0.000000
Q3         CACM-3204         36        N         0.00         0.000000
Q3         CACM-3146         37        N         0.00         0.000000
Q3         CACM-3147         38        N         0.00         0.000000
Q3         CACM-3148         39        N         0.00         0.000000
Q3         CACM-3150         40        N         0.00         0.000000
Q3         CACM-3151         41        N         0.00         0.000000
Q3         CACM-3154         42        N         0.00         0.000000
Q3         CACM-3156         43        N         0.00         0.000000
Q3         CACM-3162         44        N         0.00         0.000000
Q3         CACM-3165         45        N         0.00         0.000000
Q3         CACM-3167         46        N         0.00         0.000000
Q3         CACM-3171         47        N         0.00         0.000000
Q3         CACM-3176         48        N         0.00         0.000000
Q3         CACM-3177         49        N         0.00         0.000000
Q3         CACM-3179         50        N         0.00         0.000000
Q3         CACM-3181         51        N         0.00         0.000000
Q3         CACM-3187         52        N         0.00         0.000000
